Subject ID,Test Date,Gender,Race,Age Years,Age Months,Arm,Platform,Included,Condition,Trial,Activity,Sound Type,Response ,Rationale,Experimenter,"If Excluded, Reason for Exclusion",Notes,Reliability
P247,10/25/22,Male,Caucasian/White,5,60,Pilot_A,Bing,Yes,C1,1,fraw,5tb,0,1,KR,,,MP
P247,10/25/22,Male,Caucasian/White,5,60,Pilot_A,Bing,Yes,C1,2,fraw,instrumental,0,1,KR,,,MP
P247,10/25/22,Male,Caucasian/White,5,60,Pilot_A,Bing,Yes,C1,3,fraw,white,0,1,KR,,,MP
P247,10/25/22,Male,Caucasian/White,5,60,Pilot_A,Bing,Yes,C1,4,fraw,silence,1,1,KR,,,MP
P247,10/25/22,Male,Caucasian/White,5,60,Pilot_A,Bing,Yes,C1,5,terb,5tb,0,1,KR,,,MP
P247,10/25/22,Male,Caucasian/White,5,60,Pilot_A,Bing,Yes,C1,6,terb,instrumental,0,6,KR,,,MP
P247,10/25/22,Male,Caucasian/White,5,60,Pilot_A,Bing,Yes,C1,7,terb,white,1,6,KR,,,MP
P247,10/25/22,Male,Caucasian/White,5,60,Pilot_A,Bing,Yes,C1,8,terb,silence,0,7,KR,,"said no bc ""last time this room was for sleeping""",MP
P247,10/25/22,Male,Caucasian/White,5,60,Pilot_A,Bing,Yes,C1,9,gobb,5tb,0,6,KR,,,MP
P247,10/25/22,Male,Caucasian/White,5,60,Pilot_A,Bing,Yes,C1,10,gobb,instrumental,1,1,KR,,,MP
P247,10/25/22,Male,Caucasian/White,5,60,Pilot_A,Bing,Yes,C1,11,gobb,white,0,1,KR,,,MP
P247,10/25/22,Male,Caucasian/White,5,60,Pilot_A,Bing,Yes,C1,12,gobb,silence,0,7,KR,,"""they wanna go to this one [previous room]""",MP
P247,10/25/22,Male,Caucasian/White,5,60,Pilot_A,Bing,Yes,C1,13,plip,5tb,1,1,KR,,,MP
P247,10/25/22,Male,Caucasian/White,5,60,Pilot_A,Bing,Yes,C1,14,plip,instrumental,1,1,KR,,,MP
P247,10/25/22,Male,Caucasian/White,5,60,Pilot_A,Bing,Yes,C1,15,plip,white,0,1,KR,,,MP
P247,10/25/22,Male,Caucasian/White,5,60,Pilot_A,Bing,Yes,C1,16,plip,silence,0,4,KR,,"the other room is ""more big""",MP
P248,10/25/22,Female,Caucasian/White,3,45,Pilot_A,Bing,No,C1,1,fraw,5tb,0,6,KR,,EXCLUDED bc less than 8 trials,
P248,10/25/22,Female,Caucasian/White,3,45,Pilot_A,Bing,No,C1,2,fraw,instrumental,0,6,KR,,,
P248,10/25/22,Female,Caucasian/White,3,45,Pilot_A,Bing,No,C1,3,fraw,white,0,7,KR,,"""frawing is over there"" (another room)",
P248,10/25/22,Female,Caucasian/White,3,45,Pilot_A,Bing,No,C1,4,fraw,silence,0,6,KR,,,
P248,10/25/22,Female,Caucasian/White,3,45,Pilot_A,Bing,No,C1,5,terb,5tb,NA,NA,KR,,was too distracted to finish task,
P248,10/25/22,Female,Caucasian/White,3,45,Pilot_A,Bing,No,C1,6,terb,instrumental,NA,NA,KR,,,
P248,10/25/22,Female,Caucasian/White,3,45,Pilot_A,Bing,No,C1,7,terb,white,NA,NA,KR,,,
P248,10/25/22,Female,Caucasian/White,3,45,Pilot_A,Bing,No,C1,8,terb,silence,NA,NA,KR,,,
P248,10/25/22,Female,Caucasian/White,3,45,Pilot_A,Bing,No,C1,9,gobb,5tb,NA,NA,KR,,,
P248,10/25/22,Female,Caucasian/White,3,45,Pilot_A,Bing,No,C1,10,gobb,instrumental,NA,NA,KR,,,
P248,10/25/22,Female,Caucasian/White,3,45,Pilot_A,Bing,No,C1,11,gobb,white,NA,NA,KR,,,
P248,10/25/22,Female,Caucasian/White,3,45,Pilot_A,Bing,No,C1,12,gobb,silence,NA,NA,KR,,,
P248,10/25/22,Female,Caucasian/White,3,45,Pilot_A,Bing,No,C1,13,plip,5tb,NA,NA,KR,,,
P248,10/25/22,Female,Caucasian/White,3,45,Pilot_A,Bing,No,C1,14,plip,instrumental,NA,NA,KR,,,
P248,10/25/22,Female,Caucasian/White,3,45,Pilot_A,Bing,No,C1,15,plip,white,NA,NA,KR,,,
